"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 09 00:16:28 GMT 2025","Wed Apr 09 00:17:22 GMT 2025","53996","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamcityServerTest","setupTeamcityServerTest",""
"passed","Wed Apr 09 00:19:20 GMT 2025","Wed Apr 09 00:19:35 GMT 2025","14942","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildType","User should be able to create buildType",""
"passed","Wed Apr 09 00:19:20 GMT 2025","Wed Apr 09 00:19:20 GMT 2025","1","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create Project without name",""
"passed","Wed Apr 09 00:18:25 GMT 2025","Wed Apr 09 00:19:20 GMT 2025","54730","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Wed Apr 09 00:19:41 GMT 2025","Wed Apr 09 00:19:46 GMT 2025","5219","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithInvalidRepoUrl","User should not be able to create buildType with incorrect repo url",""
"passed","Wed Apr 09 00:19:36 GMT 2025","Wed Apr 09 00:19:41 GMT 2025","5213","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithEmptyRepoUrl","User should not be able to create buildType with empty repo url",""
