"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 08 23:11:55 GMT 2025","Tue Apr 08 23:12:57 GMT 2025","62381","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamcityServerTest","setupTeamcityServerTest",""
"passed","Tue Apr 08 23:13:57 GMT 2025","Tue Apr 08 23:14:54 GMT 2025","56608","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Tue Apr 08 23:15:15 GMT 2025","Tue Apr 08 23:15:21 GMT 2025","5471","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithInvalidRepoUrl","User should not be able to create buildType with incorrect repo url",""
"passed","Tue Apr 08 23:14:54 GMT 2025","Tue Apr 08 23:14:54 GMT 2025","1","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create Project without name",""
"passed","Tue Apr 08 23:15:09 GMT 2025","Tue Apr 08 23:15:15 GMT 2025","6494","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithEmptyRepoUrl","User should not be able to create buildType with empty repo url",""
"passed","Tue Apr 08 23:14:54 GMT 2025","Tue Apr 08 23:15:08 GMT 2025","13883","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildType","User should be able to create buildType",""
