"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 11 14:24:57 GMT 2025","Sun May 11 14:24:57 GMT 2025","1","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create Project without name",""
"broken","Sun May 11 14:24:57 GMT 2025","Sun May 11 14:24:57 GMT 2025","26","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithEmptyRepoUrl","User should not be able to create buildType with empty repo url",""
"skipped","Sun May 11 14:24:49 GMT 2025","Sun May 11 14:24:49 GMT 2025","2","Surefire suite","Surefire test","com.example.teamcity.api.AgentAuthorizeTest","com.example.teamcity.api.AgentAuthorizeTest","authorizeAgentTest","Superuser should be able to authorize Teamcity Agent",""
"broken","Sun May 11 14:24:49 GMT 2025","Sun May 11 14:24:49 GMT 2025","0","Surefire suite","Surefire test","com.example.teamcity.api.AgentAuthorizeTest","com.example.teamcity.api.AgentAuthorizeTest","cleanUpServerAuthSettings","cleanUpServerAuthSettings",""
"broken","Sun May 11 14:24:57 GMT 2025","Sun May 11 14:24:57 GMT 2025","28","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithInvalidRepoUrl","User should not be able to create buildType with incorrect repo url",""
"broken","Sun May 11 14:24:55 GMT 2025","Sun May 11 14:24:56 GMT 2025","1447","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"broken","Sun May 11 14:24:49 GMT 2025","Sun May 11 14:24:49 GMT 2025","14","Surefire suite","Surefire test","com.example.teamcity.api.AgentAuthorizeTest","com.example.teamcity.api.AgentAuthorizeTest","setUpServerAuthSettings","setUpServerAuthSettings",""
"broken","Sun May 11 14:24:57 GMT 2025","Sun May 11 14:24:57 GMT 2025","32","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildType","User should be able to create buildType",""
