"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed May 14 20:48:26 GMT 2025","Wed May 14 20:48:26 GMT 2025","0","Surefire suite","Surefire test","com.example.teamcity.api.AgentAuthorizeTest","com.example.teamcity.api.AgentAuthorizeTest","cleanUpServerAuthSettings","cleanUpServerAuthSettings",""
"skipped","Wed May 14 20:48:25 GMT 2025","Wed May 14 20:48:25 GMT 2025","1","Surefire suite","Surefire test","com.example.teamcity.api.AgentAuthorizeTest","com.example.teamcity.api.AgentAuthorizeTest","authorizeAgentTest","Superuser should be able to authorize Teamcity Agent",""
"passed","Wed May 14 20:48:33 GMT 2025","Wed May 14 20:48:33 GMT 2025","3","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create Project without name",""
"broken","Wed May 14 20:48:31 GMT 2025","Wed May 14 20:48:33 GMT 2025","1453","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"broken","Wed May 14 20:48:33 GMT 2025","Wed May 14 20:48:33 GMT 2025","25","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithInvalidRepoUrl","User should not be able to create buildType with incorrect repo url",""
"broken","Wed May 14 20:48:25 GMT 2025","Wed May 14 20:48:25 GMT 2025","11","Surefire suite","Surefire test","com.example.teamcity.api.AgentAuthorizeTest","com.example.teamcity.api.AgentAuthorizeTest","setUpServerAuthSettings","setUpServerAuthSettings",""
"broken","Wed May 14 20:48:33 GMT 2025","Wed May 14 20:48:33 GMT 2025","24","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithEmptyRepoUrl","User should not be able to create buildType with empty repo url",""
"broken","Wed May 14 20:48:33 GMT 2025","Wed May 14 20:48:33 GMT 2025","49","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTypeTest","com.example.teamcity.ui.CreateBuildTypeTest","userCreatesBuildType","User should be able to create buildType",""
